"No.","Time","Source","Destination","Protocol","Length","Info"
"2839","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2840","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2841","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2842","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2843","46.211483","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2844","46.211483","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2845","46.211568","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2846","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2847","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2848","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2849","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2850","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2851","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2852","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2853","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2854","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2855","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2856","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2857","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2858","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2859","46.212664","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2860","46.212790","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2861","46.212834","192.168.100.80","36.92.238.141","UDP","82","50600  >  443 Len=40"
"2862","46.212953","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2863","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2864","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2865","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2866","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2867","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2868","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2869","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2870","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2871","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2872","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2873","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2874","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2875","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
